"Tabela 6913 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por grupos de área de pastagem e grupos de área total - 2017",
Variável - Quantidade produzida de leite de vaca (Mil litros),
Município,Ano x Grupos de área total x Grupos de área de pastagem
Ibarama (RS),700
Ibiaçá (RS),9009
Ibiraiaras (RS),20737
Ibirapuitã (RS),7561
Ibirubá (RS),56594
Igrejinha (RS),725
Ijuí (RS),44881
Ilópolis (RS),3687
Imbé (RS),29
Imigrante (RS),5487
Independência (RS),11197
Inhacorá (RS),3975
Ipê (RS),7577
Ipiranga do Sul (RS),10039
Iraí (RS),9350
Itaara (RS),212
Itacurubi (RS),2268
Itapuca (RS),4315
Itaqui (RS),1556
Itati (RS),110
Itatiba do Sul (RS),4570
Ivorá (RS),1846
Ivoti (RS),511
Jaboticaba (RS),7941
Jacuizinho (RS),4667
Jacutinga (RS),4820
Jaguarão (RS),1373
Jaguari (RS),2299
Jaquirana (RS),1474
Jari (RS),2339
Jóia (RS),25365
Júlio de Castilhos (RS),20161
Lagoa Bonita do Sul (RS),423
Lagoão (RS),2063
Lagoa dos Três Cantos (RS),6427
Lagoa Vermelha (RS),17061
Lajeado (RS),2458
Lajeado do Bugre (RS),2474
Lavras do Sul (RS),927
Liberato Salzano (RS),9717
Lindolfo Collor (RS),246
Linha Nova (RS),307
Machadinho (RS),7711
Maçambará (RS),67
Mampituba (RS),217
Manoel Viana (RS),2019
Maquiné (RS),333
Maratá (RS),2590
Marau (RS),38843
Marcelino Ramos (RS),6213
Mariana Pimentel (RS),120
Mariano Moro (RS),4703
Marques de Souza (RS),9792
Mata (RS),796
Mato Castelhano (RS),6612
Mato Leitão (RS),5390
Mato Queimado (RS),6626
Maximiliano de Almeida (RS),8682
Minas do Leão (RS),29
Miraguaí (RS),9152
Montauri (RS),11410
Monte Alegre dos Campos (RS),759
Monte Belo do Sul (RS),268
Montenegro (RS),1796
Mormaço (RS),2129
Morrinhos do Sul (RS),99
Morro Redondo (RS),4021
Morro Reuter (RS),546
Mostardas (RS),136
Muçum (RS),2274
Muitos Capões (RS),2921
Muliterno (RS),8729
Não-Me-Toque (RS),11081
Nicolau Vergueiro (RS),6999
Nonoai (RS),6410
Nova Alvorada (RS),12156
Nova Araçá (RS),14286
Nova Bassano (RS),40612
Nova Boa Vista (RS),11958
Nova Bréscia (RS),9311
Nova Candelária (RS),23438
Nova Esperança do Sul (RS),1607
Nova Hartz (RS),233
Nova Pádua (RS),1151
Nova Palma (RS),9498
Nova Petrópolis (RS),7213
Nova Prata (RS),12184
Nova Ramada (RS),14684
Nova Roma do Sul (RS),8085
Nova Santa Rita (RS),787
Novo Cabrais (RS),1416
Novo Hamburgo (RS),327
Novo Machado (RS),5923
Novo Tiradentes (RS),4297
Novo Xingu (RS),8395
Novo Barreiro (RS),7032
Osório (RS),266
Paim Filho (RS),14090
Palmares do Sul (RS),105
Palmeira das Missões (RS),12117
Palmitinho (RS),13625
Panambi (RS),24018
Pantano Grande (RS),977
Paraí (RS),20314
Paraíso do Sul (RS),2575
Pareci Novo (RS),174
Parobé (RS),683
Passa Sete (RS),1254
Passo do Sobrado (RS),2456
Passo Fundo (RS),12063
Paulo Bento (RS),7697
Paverama (RS),4798
Pedras Altas (RS),4653
Pedro Osório (RS),X
Pejuçara (RS),8528
Pelotas (RS),19928
Picada Café (RS),953
Pinhal (RS),9001
Pinhal da Serra (RS),1860
Pinhal Grande (RS),6560
Pinheirinho do Vale (RS),13600
Pinheiro Machado (RS),1625
Pinto Bandeira (RS),413
Pirapó (RS),3666
Piratini (RS),3609
Planalto (RS),9606
Poço das Antas (RS),1381
Pontão (RS),15797
Ponte Preta (RS),8764
Portão (RS),303
Porto Alegre (RS),543
Porto Lucena (RS),12322
Porto Mauá (RS),5628
Porto Vera Cruz (RS),2151
Porto Xavier (RS),2093
Pouso Novo (RS),3726
Presidente Lucena (RS),225
Progresso (RS),11843
Protásio Alves (RS),8604
Putinga (RS),17556
Quaraí (RS),2023
Quatro Irmãos (RS),5315
Quevedos (RS),1746
Quinze de Novembro (RS),38152
Redentora (RS),8620
Relvado (RS),10203
Restinga Sêca (RS),1966
Rio dos Índios (RS),6418
Rio Grande (RS),9283
Rio Pardo (RS),5340
Riozinho (RS),419
Roca Sales (RS),10776
Rodeio Bonito (RS),6115
Rolador (RS),3888
Rolante (RS),2102
Ronda Alta (RS),19111
Rondinha (RS),38687
Roque Gonzales (RS),12022
Rosário do Sul (RS),3460
Sagrada Família (RS),3076
Saldanha Marinho (RS),11373
Salto do Jacuí (RS),7334
Salvador das Missões (RS),16604
Salvador do Sul (RS),6051
Sananduva (RS),28430
Santa Bárbara do Sul (RS),5307
Santa Cecília do Sul (RS),10379
Santa Clara do Sul (RS),7425
Santa Cruz do Sul (RS),11360
Santa Maria (RS),4338
Santa Maria do Herval (RS),2548
Santa Margarida do Sul (RS),1809
Santana da Boa Vista (RS),905
Sant'Ana do Livramento (RS),17836
Santa Rosa (RS),31005
Santa Tereza (RS),243
Santa Vitória do Palmar (RS),4829
Santiago (RS),2892
Santo Ângelo (RS),15877
Santo Antônio do Palma (RS),7577
Santo Antônio da Patrulha (RS),1857
Santo Antônio das Missões (RS),4343
Santo Antônio do Planalto (RS),5015
Santo Augusto (RS),14338
Santo Cristo (RS),53083
Santo Expedito do Sul (RS),11705
São Borja (RS),1295
São Domingos do Sul (RS),6410
São Francisco de Assis (RS),1909
São Francisco de Paula (RS),8060
São Gabriel (RS),3384
São Jerônimo (RS),712
São João da Urtiga (RS),11216
São João do Polêsine (RS),348
São Jorge (RS),20163
São José das Missões (RS),3459
São José do Herval (RS),1742
São José do Hortêncio (RS),462
São José do Inhacorá (RS),11538
São José do Norte (RS),262
São José do Ouro (RS),10597
São José do Sul (RS),741
São José dos Ausentes (RS),2209
São Leopoldo (RS),195
São Lourenço do Sul (RS),34954
São Luiz Gonzaga (RS),3721
São Marcos (RS),717
São Martinho (RS),19486
São Martinho da Serra (RS),1005
São Miguel das Missões (RS),10894
São Nicolau (RS),3708
São Paulo das Missões (RS),25386
São Pedro da Serra (RS),2665
São Pedro das Missões (RS),2340
São Pedro do Butiá (RS),17106
São Pedro do Sul (RS),3387
São Sebastião do Caí (RS),415
São Sepé (RS),3339
São Valentim (RS),7097
São Valentim do Sul (RS),5590
São Valério do Sul (RS),4716
São Vendelino (RS),668
São Vicente do Sul (RS),1599
Sapiranga (RS),636
Sapucaia do Sul (RS),63
Sarandi (RS),14907
Seberi (RS),11953
Sede Nova (RS),15464
Segredo (RS),2288
Selbach (RS),26111
Senador Salgado Filho (RS),12176
Sentinela do Sul (RS),488
Serafina Corrêa (RS),26138
Sério (RS),3798
Sertão (RS),20346
Sertão Santana (RS),451
Sete de Setembro (RS),6432
Severiano de Almeida (RS),9873
Silveira Martins (RS),852
Sinimbu (RS),3446
Sobradinho (RS),3270
Soledade (RS),9952
Tabaí (RS),894
Tapejara (RS),15333
Tapera (RS),6235
Tapes (RS),445
Taquara (RS),4391
Taquari (RS),1441
Taquaruçu do Sul (RS),9249
Tavares (RS),185
Tenente Portela (RS),19585
Terra de Areia (RS),97
Teutônia (RS),32217
Tio Hugo (RS),4252
Tiradentes do Sul (RS),26816
Toropi (RS),3451
Torres (RS),226
Tramandaí (RS),97
Travesseiro (RS),9184
Três Arroios (RS),7368
Três Cachoeiras (RS),216
Três Coroas (RS),526
Três de Maio (RS),27457
Três Forquilhas (RS),164
Três Palmeiras (RS),13064
Três Passos (RS),32340
Trindade do Sul (RS),7611
Triunfo (RS),2138
Tucunduva (RS),5550
Tunas (RS),1957
Tupanci do Sul (RS),5196
Tupanciretã (RS),16304
Tupandi (RS),3939
Tuparendi (RS),24246
Turuçu (RS),4023
Ubiretama (RS),18029
União da Serra (RS),12159
Unistalda (RS),176
Uruguaiana (RS),1865
Vacaria (RS),3673
Vale Verde (RS),900
Vale do Sol (RS),3394
Vale Real (RS),197
Vanini (RS),5044
Venâncio Aires (RS),12135
Vera Cruz (RS),3055
Veranópolis (RS),9346
Vespasiano Corrêa (RS),22017
Viadutos (RS),9912
Viamão (RS),5665
Vicente Dutra (RS),5661
Victor Graeff (RS),16136
Vila Flores (RS),7590
Vila Lângaro (RS),11480
Vila Maria (RS),21291
Vila Nova do Sul (RS),707
Vista Alegre (RS),15608
Vista Alegre do Prata (RS),8900
Vista Gaúcha (RS),8898
Vitória das Missões (RS),4201
Westfália (RS),14598
Xangri-lá (RS),21
Fonte: IBGE - Censo Agropecuário,
