"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Unidade da Federação";"Ano x Tipo de produto de origem animal"
"Brasil e Unidade da Federação";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Unidade da Federação";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Alagoas";"47822";"50784";"55382";"65413";"70667";"75108";"76380";"77660";"87935";"74825";"100429";"102815";"109708";"84582";"105682";"143791";"148580";"208375";"217109";"182872";"189662";"201077";"223266";"301614";"244928";"214813";"217887";"244046";"224014";"241016";"243430";"236109";"228238";"242740";"236852";"231991";"231367";"238249";"245647";"252135";"304674";"352454";"359476";"436972"
"Sergipe";"50987";"54417";"56267";"59047";"74907";"93611";"117014";"62613";"66564";"43734";"44817";"42800";"74905";"65000";"75031";"94608";"99862";"97586";"98923";"78812";"66897";"66013";"134807";"127229";"118023";"122424";"115142";"112873";"112168";"139003";"156989";"191306";"242568";"251624";"259700";"286568";"296650";"315968";"298516";"331406";"345020";"379940";"357882";"337602"
"Bahia";"323956";"399163";"434261";"481622";"524324";"536733";"573686";"616224";"581601";"567797";"622417";"666718";"662748";"633541";"673805";"716286";"743774";"795127";"865851";"639696";"629982";"668147";"660303";"688476";"682504";"672394";"724897";"739099";"752026";"794965";"842544";"890187";"905752";"965799";"952414";"1182019";"1238547";"1181339";"1079097";"1162598";"1212091";"984014";"858408";"870281"
"Minas Gerais";"2076047";"2356149";"2430265";"2995348";"3010683";"3033150";"3218337";"3399868";"3441225";"3592478";"3682484";"3667490";"3721197";"3938926";"4054991";"4142890";"4290800";"4319219";"4502655";"4526961";"4577620";"4762543";"5601112";"5602015";"5688011";"5801063";"5865486";"5981223";"6177356";"6319895";"6628917";"6908683";"7094111";"7275242";"7657305";"7931115";"8388039";"8756114";"8905984";"9309165";"9370470";"9144957";"8970779";"8912565"
"Espírito Santo";"188609";"219937";"231288";"263642";"276179";"259761";"246164";"306520";"304649";"340368";"291433";"267748";"267144";"277609";"282476";"281815";"281416";"300345";"310381";"374396";"365182";"362696";"319678";"339339";"340075";"367904";"378068";"362236";"374897";"379253";"405717";"417676";"434000";"437770";"418938";"421553";"437205";"451294";"456551";"465780";"483605";"469375";"371375";"374031"
"Rio de Janeiro";"323168";"369078";"396084";"444969";"420244";"402542";"360084";"369571";"372545";"371937";"372824";"378593";"383519";"396028";"409996";"393239";"390304";"391307";"380534";"395523";"403898";"432381";"432020";"451224";"455145";"457736";"468752";"446676";"447403";"449425";"466927";"464946";"468191";"462905";"475592";"483129";"488786";"499515";"538890";"569088";"540056";"513276";"511697";"468791"
"Guanabara";"5662";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"1241478";"1331984";"1385777";"1466486";"1579661";"1800619";"1844122";"1827795";"1842043";"1818604";"1816721";"1781004";"1828684";"1967768";"1943236";"1988717";"1960781";"1979767";"2022923";"2047236";"2005189";"1981844";"1985388";"2003166";"1981967";"1913499";"1861425";"1783017";"1745896";"1785209";"1739397";"1744179";"1744008";"1627419";"1588943";"1583882";"1605657";"1601220";"1689715";"1675914";"1736144";"1768414";"1706147";"1693537"
"Paraná";"503307";"555914";"580722";"777522";"806798";"783680";"794608";"866849";"896775";"905808";"940160";"979564";"1032743";"1059774";"1125335";"1134165";"1160048";"1240178";"1277282";"1363237";"1424283";"1576541";"1514482";"1579838";"1625227";"1724918";"1799240";"1889627";"1985343";"2141455";"2394537";"2568251";"2703577";"2700993";"2827931";"3339306";"3595775";"3815582";"3968506";"4347493";"4540714";"4659559";"4726291";"4438434"
"Santa Catarina";"337413";"418524";"430229";"495293";"470538";"472549";"540404";"517720";"510959";"519748";"540383";"559104";"587028";"612233";"622443";"671163";"650409";"661036";"707888";"735867";"780122";"815379";"866065";"852170";"870810";"906540";"1003098";"1076084";"1192690";"1332277";"1486662";"1555622";"1709812";"1865568";"2125856";"2217800";"2381130";"2531159";"2717651";"2918320";"2983250";"3059903";"3113769";"2979863"
