"Tabela 6782 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por direção dos trabalhos do estabelecimento agropecuário e origem da orientação técnica recebida - resultados preliminares 2017"
"Variável - Número de estabelecimentos agropecuários que produziram leite (Unidades)"
"Município";"Origem da orientação técnica recebida";"Ano x Direção dos trabalhos do estabelecimento agropecuário"
"Município";"Origem da orientação técnica recebida";"2017"
"Município";"Origem da orientação técnica recebida";"Total"
"Cruz Alta (RS)";"Total";"196"
"Cruzaltense (RS)";"Total";"246"
"Cruzeiro do Sul (RS)";"Total";"282"
"David Canabarro (RS)";"Total";"304"
"Derrubadas (RS)";"Total";"317"
"Dezesseis de Novembro (RS)";"Total";"360"
"Dilermando de Aguiar (RS)";"Total";"114"
"Dois Irmãos (RS)";"Total";"33"
"Dois Irmãos das Missões (RS)";"Total";"127"
"Dois Lajeados (RS)";"Total";"235"
"Dom Feliciano (RS)";"Total";"664"
"Dom Pedro de Alcântara (RS)";"Total";"19"
"Dom Pedrito (RS)";"Total";"156"
"Dona Francisca (RS)";"Total";"168"
"Doutor Maurício Cardoso (RS)";"Total";"341"
"Doutor Ricardo (RS)";"Total";"149"
"Eldorado do Sul (RS)";"Total";"39"
"Encantado (RS)";"Total";"219"
"Encruzilhada do Sul (RS)";"Total";"610"
"Engenho Velho (RS)";"Total";"76"
"Entre-Ijuís (RS)";"Total";"300"
"Entre Rios do Sul (RS)";"Total";"126"
"Erebango (RS)";"Total";"115"
"Erechim (RS)";"Total";"456"
"Ernestina (RS)";"Total";"178"
"Herval (RS)";"Total";"301"
"Erval Grande (RS)";"Total";"326"
"Erval Seco (RS)";"Total";"438"
"Esmeralda (RS)";"Total";"104"
"Esperança do Sul (RS)";"Total";"338"
"Espumoso (RS)";"Total";"282"
"Estação (RS)";"Total";"113"
"Estância Velha (RS)";"Total";"10"
"Estrela (RS)";"Total";"353"
"Estrela Velha (RS)";"Total";"302"
"Eugênio de Castro (RS)";"Total";"112"
"Fagundes Varela (RS)";"Total";"190"
"Farroupilha (RS)";"Total";"309"
"Faxinal do Soturno (RS)";"Total";"223"
"Faxinalzinho (RS)";"Total";"123"
"Fazenda Vilanova (RS)";"Total";"77"
"Feliz (RS)";"Total";"80"
"Flores da Cunha (RS)";"Total";"126"
"Floriano Peixoto (RS)";"Total";"222"
"Fontoura Xavier (RS)";"Total";"525"
"Formigueiro (RS)";"Total";"174"
"Forquetinha (RS)";"Total";"315"
"Fortaleza dos Valos (RS)";"Total";"162"
"Frederico Westphalen (RS)";"Total";"555"
"Garibaldi (RS)";"Total";"139"
"Garruchos (RS)";"Total";"148"
"Gaurama (RS)";"Total";"291"
"General Câmara (RS)";"Total";"112"
"Gentil (RS)";"Total";"147"
"Getúlio Vargas (RS)";"Total";"237"
"Giruá (RS)";"Total";"461"
"Glorinha (RS)";"Total";"206"
"Gramado (RS)";"Total";"131"
"Gramado dos Loureiros (RS)";"Total";"126"
"Gramado Xavier (RS)";"Total";"205"
"Gravataí (RS)";"Total";"144"
"Guabiju (RS)";"Total";"132"
"Guaíba (RS)";"Total";"85"
"Guaporé (RS)";"Total";"317"
"Guarani das Missões (RS)";"Total";"549"
"Harmonia (RS)";"Total";"73"
"Herveiras (RS)";"Total";"113"
"Horizontina (RS)";"Total";"467"
"Hulha Negra (RS)";"Total";"635"
"Humaitá (RS)";"Total";"383"
"Ibarama (RS)";"Total";"287"
"Ibiaçá (RS)";"Total";"241"
"Ibiraiaras (RS)";"Total";"378"
"Ibirapuitã (RS)";"Total";"183"
"Ibirubá (RS)";"Total";"516"
"Igrejinha (RS)";"Total";"112"
"Ijuí (RS)";"Total";"850"
"Ilópolis (RS)";"Total";"156"
"Imbé (RS)";"Total";"8"
"Imigrante (RS)";"Total";"217"
"Independência (RS)";"Total";"289"
"Inhacorá (RS)";"Total";"106"
"Ipê (RS)";"Total";"190"
"Ipiranga do Sul (RS)";"Total";"109"
"Iraí (RS)";"Total";"458"
"Itaara (RS)";"Total";"39"
"Itacurubi (RS)";"Total";"311"
"Itapuca (RS)";"Total";"174"
"Itaqui (RS)";"Total";"45"
"Itati (RS)";"Total";"50"
"Itatiba do Sul (RS)";"Total";"255"
"Ivorá (RS)";"Total";"165"
"Ivoti (RS)";"Total";"24"
"Jaboticaba (RS)";"Total";"293"
"Jacuizinho (RS)";"Total";"108"
"Jacutinga (RS)";"Total";"121"
"Jaguarão (RS)";"Total";"221"
"Jaguari (RS)";"Total";"260"
"Jaquirana (RS)";"Total";"180"
"Jari (RS)";"Total";"314"
"Jóia (RS)";"Total";"622"
"Júlio de Castilhos (RS)";"Total";"441"
"Lagoa Bonita do Sul (RS)";"Total";"124"
"Lagoão (RS)";"Total";"408"
"Lagoa dos Três Cantos (RS)";"Total";"81"
"Lagoa Vermelha (RS)";"Total";"494"
"Lajeado (RS)";"Total";"155"
"Lajeado do Bugre (RS)";"Total";"119"
"Lavras do Sul (RS)";"Total";"208"
"Liberato Salzano (RS)";"Total";"458"
"Lindolfo Collor (RS)";"Total";"15"
"Linha Nova (RS)";"Total";"78"
"Machadinho (RS)";"Total";"193"
"Maçambará (RS)";"Total";"5"
"Mampituba (RS)";"Total";"79"
"Manoel Viana (RS)";"Total";"216"
"Maquiné (RS)";"Total";"85"
"Maratá (RS)";"Total";"117"
"Marau (RS)";"Total";"667"
"Marcelino Ramos (RS)";"Total";"257"
"Mariana Pimentel (RS)";"Total";"39"
"Mariano Moro (RS)";"Total";"101"
"Marques de Souza (RS)";"Total";"335"
"Mata (RS)";"Total";"123"
"Mato Castelhano (RS)";"Total";"168"
"Mato Leitão (RS)";"Total";"129"
"Mato Queimado (RS)";"Total";"184"
"Maximiliano de Almeida (RS)";"Total";"231"
"Minas do Leão (RS)";"Total";"4"
"Miraguaí (RS)";"Total";"427"
"Montauri (RS)";"Total";"181"
"Monte Alegre dos Campos (RS)";"Total";"256"
"Monte Belo do Sul (RS)";"Total";"82"
"Montenegro (RS)";"Total";"223"
"Mormaço (RS)";"Total";"177"
"Morrinhos do Sul (RS)";"Total";"51"
"Morro Redondo (RS)";"Total";"182"
"Morro Reuter (RS)";"Total";"62"
"Mostardas (RS)";"Total";"76"
"Muçum (RS)";"Total";"95"
"Muitos Capões (RS)";"Total";"220"
"Muliterno (RS)";"Total";"170"
"Não-Me-Toque (RS)";"Total";"185"
"Nicolau Vergueiro (RS)";"Total";"117"
"Nonoai (RS)";"Total";"150"
"Nova Alvorada (RS)";"Total";"228"
"Nova Araçá (RS)";"Total";"168"
"Nova Bassano (RS)";"Total";"378"
"Nova Boa Vista (RS)";"Total";"213"
"Nova Bréscia (RS)";"Total";"205"
"Nova Candelária (RS)";"Total";"337"
"Nova Esperança do Sul (RS)";"Total";"90"
"Nova Hartz (RS)";"Total";"43"
"Nova Pádua (RS)";"Total";"113"
"Nova Palma (RS)";"Total";"247"
"Nova Petrópolis (RS)";"Total";"312"
"Nova Prata (RS)";"Total";"201"
"Nova Ramada (RS)";"Total";"242"
"Nova Roma do Sul (RS)";"Total";"184"
"Nova Santa Rita (RS)";"Total";"139"
"Novo Cabrais (RS)";"Total";"174"
"Novo Hamburgo (RS)";"Total";"26"
"Novo Machado (RS)";"Total";"332"
"Novo Tiradentes (RS)";"Total";"205"
"Novo Xingu (RS)";"Total";"157"
"Novo Barreiro (RS)";"Total";"335"
"Osório (RS)";"Total";"76"
"Paim Filho (RS)";"Total";"261"
"Palmares do Sul (RS)";"Total";"46"
"Palmeira das Missões (RS)";"Total";"472"
"Palmitinho (RS)";"Total";"577"
"Panambi (RS)";"Total";"453"
"Pantano Grande (RS)";"Total";"64"
"Paraí (RS)";"Total";"253"
"Paraíso do Sul (RS)";"Total";"508"
"Pareci Novo (RS)";"Total";"16"
"Parobé (RS)";"Total";"74"
"Passa Sete (RS)";"Total";"348"
"Passo do Sobrado (RS)";"Total";"226"
"Passo Fundo (RS)";"Total";"347"
"Paulo Bento (RS)";"Total";"184"
"Paverama (RS)";"Total";"194"
"Pedras Altas (RS)";"Total";"198"
"Pedro Osório (RS)";"Total";"38"
"Pejuçara (RS)";"Total";"106"
"Pelotas (RS)";"Total";"687"
"Picada Café (RS)";"Total";"50"
"Pinhal (RS)";"Total";"214"
"Pinhal da Serra (RS)";"Total";"253"
"Pinhal Grande (RS)";"Total";"169"
"Pinheirinho do Vale (RS)";"Total";"378"
"Pinheiro Machado (RS)";"Total";"331"
"Pinto Bandeira (RS)";"Total";"79"
"Pirapó (RS)";"Total";"233"
"Piratini (RS)";"Total";"624"
"Planalto (RS)";"Total";"483"
"Poço das Antas (RS)";"Total";"84"
"Pontão (RS)";"Total";"185"
"Ponte Preta (RS)";"Total";"178"
"Portão (RS)";"Total";"57"
"Porto Alegre (RS)";"Total";"88"
"Porto Lucena (RS)";"Total";"505"
"Porto Mauá (RS)";"Total";"204"
