"Tabela 1227 - Número de estabelecimentos agropecuários, Quantidade produzida e Valor da produção de leite por agricultura familiar e não familiar e tipo de leite"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Município";"Tipo de leite";"Ano x Tipo de agricultura"
"Município";"Tipo de leite";"2006"
"Município";"Tipo de leite";"Total"
"Aceguá (RS)";"Leite de vaca";"441"
"Água Santa (RS)";"Leite de vaca";"390"
"Agudo (RS)";"Leite de vaca";"906"
"Ajuricaba (RS)";"Leite de vaca";"592"
"Alecrim (RS)";"Leite de vaca";"1062"
"Alegrete (RS)";"Leite de vaca";"1143"
"Alegria (RS)";"Leite de vaca";"717"
"Almirante Tamandaré do Sul (RS)";"Leite de vaca";"238"
"Alpestre (RS)";"Leite de vaca";"1211"
"Alto Alegre (RS)";"Leite de vaca";"218"
"Alto Feliz (RS)";"Leite de vaca";"204"
"Alvorada (RS)";"Leite de vaca";"7"
"Amaral Ferrador (RS)";"Leite de vaca";"264"
"Ametista do Sul (RS)";"Leite de vaca";"421"
"André da Rocha (RS)";"Leite de vaca";"65"
"Anta Gorda (RS)";"Leite de vaca";"667"
"Antônio Prado (RS)";"Leite de vaca";"477"
"Arambaré (RS)";"Leite de vaca";"9"
"Araricá (RS)";"Leite de vaca";"19"
"Aratiba (RS)";"Leite de vaca";"801"
"Arroio do Meio (RS)";"Leite de vaca";"718"
"Arroio do Sal (RS)";"Leite de vaca";"36"
"Arroio do Padre (RS)";"Leite de vaca";"375"
"Arroio dos Ratos (RS)";"Leite de vaca";"47"
"Arroio do Tigre (RS)";"Leite de vaca";"1245"
"Arroio Grande (RS)";"Leite de vaca";"235"
"Arvorezinha (RS)";"Leite de vaca";"506"
"Augusto Pestana (RS)";"Leite de vaca";"730"
"Áurea (RS)";"Leite de vaca";"470"
"Bagé (RS)";"Leite de vaca";"602"
"Barão (RS)";"Leite de vaca";"285"
"Barão de Cotegipe (RS)";"Leite de vaca";"625"
"Barão do Triunfo (RS)";"Leite de vaca";"328"
"Barracão (RS)";"Leite de vaca";"332"
"Barra do Guarita (RS)";"Leite de vaca";"302"
"Barra do Quaraí (RS)";"Leite de vaca";"18"
"Barra do Ribeiro (RS)";"Leite de vaca";"29"
"Barra do Rio Azul (RS)";"Leite de vaca";"358"
"Barra Funda (RS)";"Leite de vaca";"177"
"Barros Cassal (RS)";"Leite de vaca";"1025"
"Benjamin Constant do Sul (RS)";"Leite de vaca";"213"
"Bento Gonçalves (RS)";"Leite de vaca";"477"
"Boa Vista das Missões (RS)";"Leite de vaca";"130"
"Boa Vista do Buricá (RS)";"Leite de vaca";"543"
"Boa Vista do Cadeado (RS)";"Leite de vaca";"251"
"Boa Vista do Incra (RS)";"Leite de vaca";"258"
"Boa Vista do Sul (RS)";"Leite de vaca";"368"
"Bom Jesus (RS)";"Leite de vaca";"378"
"Bom Princípio (RS)";"Leite de vaca";"277"
"Bom Progresso (RS)";"Leite de vaca";"213"
"Bom Retiro do Sul (RS)";"Leite de vaca";"145"
"Boqueirão do Leão (RS)";"Leite de vaca";"630"
"Bossoroca (RS)";"Leite de vaca";"457"
"Bozano (RS)";"Leite de vaca";"270"
"Braga (RS)";"Leite de vaca";"320"
"Brochier (RS)";"Leite de vaca";"297"
"Butiá (RS)";"Leite de vaca";"118"
"Caçapava do Sul (RS)";"Leite de vaca";"1279"
"Cacequi (RS)";"Leite de vaca";"133"
"Cachoeira do Sul (RS)";"Leite de vaca";"1159"
"Cachoeirinha (RS)";"Leite de vaca";"13"
"Cacique Doble (RS)";"Leite de vaca";"413"
"Caibaté (RS)";"Leite de vaca";"397"
"Caiçara (RS)";"Leite de vaca";"711"
"Camaquã (RS)";"Leite de vaca";"977"
"Camargo (RS)";"Leite de vaca";"290"
"Cambará do Sul (RS)";"Leite de vaca";"48"
"Campestre da Serra (RS)";"Leite de vaca";"95"
"Campina das Missões (RS)";"Leite de vaca";"930"
"Campinas do Sul (RS)";"Leite de vaca";"284"
"Campo Bom (RS)";"Leite de vaca";"20"
"Campo Novo (RS)";"Leite de vaca";"192"
"Campos Borges (RS)";"Leite de vaca";"215"
