"Tabela 6783 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por grupos de área de pastagem e grupos de área total - resultados preliminares 2017"
"Variável - Quantidade produzida de leite de vaca (Mil litros)"
"Município";"Ano x Grupos de área total x Grupos de área de pastagem"
"Ernestina (RS)";"9397"
"Herval (RS)";"3044"
"Erval Grande (RS)";"7953"
"Erval Seco (RS)";"16509"
"Esmeralda (RS)";"1718"
"Esperança do Sul (RS)";"8648"
"Espumoso (RS)";"14718"
"Estação (RS)";"6363"
"Estância Velha (RS)";"194"
"Estrela (RS)";"37943"
"Estrela Velha (RS)";"5207"
"Eugênio de Castro (RS)";"8875"
"Fagundes Varela (RS)";"12990"
"Farroupilha (RS)";"11176"
"Faxinal do Soturno (RS)";"2853"
"Faxinalzinho (RS)";"5087"
"Fazenda Vilanova (RS)";"5544"
"Feliz (RS)";"715"
"Flores da Cunha (RS)";"1031"
"Floriano Peixoto (RS)";"3576"
"Fontoura Xavier (RS)";"4012"
"Formigueiro (RS)";"500"
"Forquetinha (RS)";"7297"
"Fortaleza dos Valos (RS)";"16353"
"Frederico Westphalen (RS)";"16939"
"Garibaldi (RS)";"1940"
"Garruchos (RS)";"1516"
"Gaurama (RS)";"9120"
"General Câmara (RS)";"1700"
"Gentil (RS)";"7127"
"Getúlio Vargas (RS)";"11730"
"Giruá (RS)";"17890"
"Glorinha (RS)";"1928"
"Gramado (RS)";"1311"
"Gramado dos Loureiros (RS)";"3728"
"Gramado Xavier (RS)";"861"
"Gravataí (RS)";"2637"
"Guabiju (RS)";"15374"
"Guaíba (RS)";"371"
"Guaporé (RS)";"13457"
"Guarani das Missões (RS)";"16405"
"Harmonia (RS)";"558"
"Herveiras (RS)";"489"
"Horizontina (RS)";"14101"
"Hulha Negra (RS)";"16591"
"Humaitá (RS)";"21165"
"Ibarama (RS)";"655"
"Ibiaçá (RS)";"8792"
"Ibiraiaras (RS)";"21377"
"Ibirapuitã (RS)";"7694"
"Ibirubá (RS)";"59395"
"Igrejinha (RS)";"718"
"Ijuí (RS)";"45396"
"Ilópolis (RS)";"3663"
"Imbé (RS)";"29"
"Imigrante (RS)";"5458"
"Independência (RS)";"12258"
"Inhacorá (RS)";"3973"
"Ipê (RS)";"7701"
"Ipiranga do Sul (RS)";"10259"
"Iraí (RS)";"9324"
"Itaara (RS)";"212"
"Itacurubi (RS)";"2325"
"Itapuca (RS)";"4294"
"Itaqui (RS)";"1329"
"Itati (RS)";"76"
"Itatiba do Sul (RS)";"3686"
"Ivorá (RS)";"1769"
"Ivoti (RS)";"511"
"Jaboticaba (RS)";"7457"
"Jacuizinho (RS)";"4325"
"Jacutinga (RS)";"4990"
"Jaguarão (RS)";"1478"
"Jaguari (RS)";"2221"
"Jaquirana (RS)";"1463"
"Jari (RS)";"2144"
"Jóia (RS)";"25334"
"Júlio de Castilhos (RS)";"21180"
"Lagoa Bonita do Sul (RS)";"395"
"Lagoão (RS)";"2005"
"Lagoa dos Três Cantos (RS)";"6422"
"Lagoa Vermelha (RS)";"17243"
"Lajeado (RS)";"2397"
"Lajeado do Bugre (RS)";"2353"
"Lavras do Sul (RS)";"832"
"Liberato Salzano (RS)";"9630"
"Lindolfo Collor (RS)";"229"
"Linha Nova (RS)";"291"
"Machadinho (RS)";"7559"
"Maçambará (RS)";"67"
"Mampituba (RS)";"130"
"Manoel Viana (RS)";"1970"
"Maquiné (RS)";"274"
"Maratá (RS)";"2576"
"Marau (RS)";"40282"
"Marcelino Ramos (RS)";"5965"
"Mariana Pimentel (RS)";"66"
"Mariano Moro (RS)";"4664"
"Marques de Souza (RS)";"9739"
"Mata (RS)";"763"
"Mato Castelhano (RS)";"7179"
"Mato Leitão (RS)";"4985"
"Mato Queimado (RS)";"6569"
"Maximiliano de Almeida (RS)";"8682"
"Minas do Leão (RS)";"29"
"Miraguaí (RS)";"9051"
"Montauri (RS)";"11555"
"Monte Alegre dos Campos (RS)";"555"
"Monte Belo do Sul (RS)";"208"
"Montenegro (RS)";"1670"
"Mormaço (RS)";"2104"
"Morrinhos do Sul (RS)";"82"
"Morro Redondo (RS)";"3907"
"Morro Reuter (RS)";"484"
"Mostardas (RS)";"91"
"Muçum (RS)";"2268"
"Muitos Capões (RS)";"2737"
"Muliterno (RS)";"8758"
"Não-Me-Toque (RS)";"11716"
"Nicolau Vergueiro (RS)";"7941"
"Nonoai (RS)";"6406"
"Nova Alvorada (RS)";"12146"
"Nova Araçá (RS)";"14760"
"Nova Bassano (RS)";"42670"
"Nova Boa Vista (RS)";"12862"
"Nova Bréscia (RS)";"9289"
"Nova Candelária (RS)";"23500"
"Nova Esperança do Sul (RS)";"1573"
"Nova Hartz (RS)";"231"
"Nova Pádua (RS)";"1085"
"Nova Palma (RS)";"9725"
"Nova Petrópolis (RS)";"7636"
"Nova Prata (RS)";"11134"
"Nova Ramada (RS)";"14879"
"Nova Roma do Sul (RS)";"8119"
"Nova Santa Rita (RS)";"782"
"Novo Cabrais (RS)";"1327"
"Novo Hamburgo (RS)";"323"
"Novo Machado (RS)";"5830"
"Novo Tiradentes (RS)";"4206"
"Novo Xingu (RS)";"8474"
"Novo Barreiro (RS)";"7109"
"Osório (RS)";"223"
"Paim Filho (RS)";"15379"
"Palmares do Sul (RS)";"75"
"Palmeira das Missões (RS)";"11905"
"Palmitinho (RS)";"13588"
"Panambi (RS)";"27830"
"Pantano Grande (RS)";"1074"
"Paraí (RS)";"24360"
"Paraíso do Sul (RS)";"2540"
"Pareci Novo (RS)";"174"
"Parobé (RS)";"664"
"Passa Sete (RS)";"1201"
"Passo do Sobrado (RS)";"2365"
"Passo Fundo (RS)";"12006"
"Paulo Bento (RS)";"8160"
"Paverama (RS)";"5719"
"Pedras Altas (RS)";"4541"
"Pedro Osório (RS)";"738"
"Pejuçara (RS)";"9454"
"Pelotas (RS)";"19726"
"Picada Café (RS)";"952"
"Pinhal (RS)";"9001"
"Pinhal da Serra (RS)";"1736"
"Pinhal Grande (RS)";"6553"
"Pinheirinho do Vale (RS)";"13370"
"Pinheiro Machado (RS)";"1481"
"Pinto Bandeira (RS)";"403"
"Pirapó (RS)";"3642"
"Piratini (RS)";"3451"
"Planalto (RS)";"9552"
"Poço das Antas (RS)";"1380"
"Pontão (RS)";"16674"
"Ponte Preta (RS)";"8995"
"Portão (RS)";"280"
"Porto Alegre (RS)";"443"
"Porto Lucena (RS)";"12351"
"Porto Mauá (RS)";"5551"
"Porto Vera Cruz (RS)";"2105"
"Porto Xavier (RS)";"2030"
"Pouso Novo (RS)";"3723"
"Presidente Lucena (RS)";"217"
"Progresso (RS)";"11857"
"Protásio Alves (RS)";"8610"
"Putinga (RS)";"17556"
"Quaraí (RS)";"1782"
"Quatro Irmãos (RS)";"5420"
"Quevedos (RS)";"1409"
"Quinze de Novembro (RS)";"39981"
"Redentora (RS)";"8495"
"Relvado (RS)";"10477"
"Restinga Sêca (RS)";"2077"
"Rio dos Índios (RS)";"6410"
"Rio Grande (RS)";"9144"
"Rio Pardo (RS)";"5078"
"Riozinho (RS)";"375"
"Roca Sales (RS)";"10861"
"Rodeio Bonito (RS)";"6128"
"Rolador (RS)";"3884"
"Rolante (RS)";"1766"
"Ronda Alta (RS)";"19429"
"Rondinha (RS)";"39466"
"Roque Gonzales (RS)";"11847"
"Rosário do Sul (RS)";"3154"
"Sagrada Família (RS)";"3076"
"Saldanha Marinho (RS)";"14422"
"Salto do Jacuí (RS)";"6419"
"Salvador das Missões (RS)";"17503"
"Salvador do Sul (RS)";"6276"
"Sananduva (RS)";"28403"
"Santa Bárbara do Sul (RS)";"5111"
"Santa Cecília do Sul (RS)";"10379"
"Santa Clara do Sul (RS)";"7425"
"Santa Cruz do Sul (RS)";"10792"
"Santa Maria (RS)";"4161"
"Santa Maria do Herval (RS)";"2768"
"Santa Margarida do Sul (RS)";"1701"
"Santana da Boa Vista (RS)";"578"
"Sant'Ana do Livramento (RS)";"17242"
"Santa Rosa (RS)";"30868"
"Santa Tereza (RS)";"211"
"Santa Vitória do Palmar (RS)";"4520"
"Santiago (RS)";"2853"
"Santo Ângelo (RS)";"15412"
"Santo Antônio do Palma (RS)";"7636"
"Santo Antônio da Patrulha (RS)";"1529"
"Santo Antônio das Missões (RS)";"4179"
"Santo Antônio do Planalto (RS)";"5005"
"Santo Augusto (RS)";"15428"
"Santo Cristo (RS)";"52905"
"Santo Expedito do Sul (RS)";"11625"
"São Borja (RS)";"1076"
"São Domingos do Sul (RS)";"6855"
"São Francisco de Assis (RS)";"1671"
"São Francisco de Paula (RS)";"7660"
"São Gabriel (RS)";"3189"
"São Jerônimo (RS)";"554"
"São João da Urtiga (RS)";"11213"
"São João do Polêsine (RS)";"200"
"São Jorge (RS)";"21549"
"São José das Missões (RS)";"3406"
"São José do Herval (RS)";"1712"
"São José do Hortêncio (RS)";"453"
"São José do Inhacorá (RS)";"11535"
"São José do Norte (RS)";"161"
"São José do Ouro (RS)";"11331"
"São José do Sul (RS)";"741"
"São José dos Ausentes (RS)";"2209"
"São Leopoldo (RS)";"166"
"São Lourenço do Sul (RS)";"36190"
"São Luiz Gonzaga (RS)";"3563"
"São Marcos (RS)";"520"
"São Martinho (RS)";"19370"
"São Martinho da Serra (RS)";"952"
"São Miguel das Missões (RS)";"10591"
"São Nicolau (RS)";"3536"
"São Paulo das Missões (RS)";"24367"
"São Pedro da Serra (RS)";"2631"
"São Pedro das Missões (RS)";"2303"
"São Pedro do Butiá (RS)";"17048"
"São Pedro do Sul (RS)";"3203"
"São Sebastião do Caí (RS)";"369"
"São Sepé (RS)";"3074"
"São Valentim (RS)";"6885"
"São Valentim do Sul (RS)";"5590"
"São Valério do Sul (RS)";"4706"
"São Vendelino (RS)";"662"
"São Vicente do Sul (RS)";"1470"
"Sapiranga (RS)";"613"
"Sapucaia do Sul (RS)";"63"
"Sarandi (RS)";"14825"
"Seberi (RS)";"12146"
"Sede Nova (RS)";"17290"
"Segredo (RS)";"2206"
"Selbach (RS)";"26518"
"Senador Salgado Filho (RS)";"12230"
"Sentinela do Sul (RS)";"420"
"Serafina Corrêa (RS)";"29552"
"Sério (RS)";"3724"
"Sertão (RS)";"20330"
"Sertão Santana (RS)";"267"
"Sete de Setembro (RS)";"6325"
"Severiano de Almeida (RS)";"9837"
"Silveira Martins (RS)";"846"
"Sinimbu (RS)";"3303"
"Sobradinho (RS)";"3084"
"Soledade (RS)";"9804"
"Tabaí (RS)";"807"
"Tapejara (RS)";"15295"
"Tapera (RS)";"6523"
"Tapes (RS)";"403"
"Taquara (RS)";"5042"
"Taquari (RS)";"1386"
"Taquaruçu do Sul (RS)";"9222"
"Tavares (RS)";"115"
"Tenente Portela (RS)";"19508"
"Terra de Areia (RS)";"90"
"Teutônia (RS)";"33106"
"Tio Hugo (RS)";"4208"
"Tiradentes do Sul (RS)";"26627"
"Toropi (RS)";"4021"
"Torres (RS)";"219"
"Tramandaí (RS)";"80"
"Travesseiro (RS)";"9158"
"Três Arroios (RS)";"7351"
"Três Cachoeiras (RS)";"212"
"Três Coroas (RS)";"471"
"Três de Maio (RS)";"28288"
"Três Forquilhas (RS)";"67"
"Três Palmeiras (RS)";"13390"
"Três Passos (RS)";"33974"
"Trindade do Sul (RS)";"7611"
"Triunfo (RS)";"2060"
"Tucunduva (RS)";"6413"
"Tunas (RS)";"1883"
"Tupanci do Sul (RS)";"5179"
"Tupanciretã (RS)";"16151"
"Tupandi (RS)";"3939"
"Tuparendi (RS)";"24733"
"Turuçu (RS)";"3914"
"Ubiretama (RS)";"18259"
"União da Serra (RS)";"12089"
"Unistalda (RS)";"152"
"Uruguaiana (RS)";"1540"
"Vacaria (RS)";"9761"
"Vale Verde (RS)";"900"
"Vale do Sol (RS)";"3308"
"Vale Real (RS)";"159"
"Vanini (RS)";"5141"
"Venâncio Aires (RS)";"11692"
"Vera Cruz (RS)";"3206"
"Veranópolis (RS)";"9243"
