"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Caiçara (RS)";"1487";"1882";"1873";"1901";"1907";"2187";"1678";"1424";"1776";"1813";"1893";"1899";"2085";"2150";"2166";"3010";"3022";"3084";"3399";"3732";"3753";"3785";"4163";"4293";"4749";"4774";"5251";"4802";"4830";"4844";"4861";"4929";"4949";"7506";"7530";"7669";"7667";"7704";"9090";"12200";"13500";"12100";"11900";"13560"
"Camaquã (RS)";"3705";"4240";"4227";"4285";"2910";"2464";"4225";"4292";"4347";"4575";"4485";"4562";"4080";"3890";"3750";"3900";"3324";"2700";"2400";"1550";"1800";"1950";"4700";"3800";"3500";"3800";"3600";"3000";"3200";"3000";"3300";"3150";"2835";"2500";"2200";"2501";"2479";"2420";"2300";"2350";"3132";"2981";"2924";"3003"
"Camargo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2422";"2344";"2589";"2539";"2274";"1161";"1176";"2782";"3219";"6672";"4769";"5908";"6276";"8648";"5138";"4959";"6177";"8123";"10752";"14352";"14122";"14160";"14486";"15566";"15728";"19555";"18017";"19861";"18765"
"Cambará do Sul (RS)";"743";"825";"868";"879";"2703";"2810";"3164";"4308";"4614";"3876";"3551";"3647";"3150";"3419";"3229";"3205";"2654";"2350";"2155";"2190";"2450";"2481";"1166";"2046";"2066";"2005";"1910";"1875";"1650";"771";"809";"750";"780";"780";"796";"758";"733";"724";"739";"750";"781";"789";"770";"780"
"Campestre da Serra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3050";"3500";"2800";"1345";"1453";"1511";"1395";"1120";"1103";"4059";"4221";"9803";"1643";"1772";"1826";"1686";"1872";"1796";"1850";"1950";"1971";"700";"560";"366";"300"
"Campina das Missões (RS)";"2077";"2281";"2240";"2289";"1510";"2100";"2560";"2670";"2679";"2996";"2819";"1716";"1862";"2094";"4320";"4935";"5452";"5562";"5638";"7200";"7250";"9986";"9804";"11080";"9851";"10979";"12378";"13741";"14330";"13435";"13540";"13955";"14212";"19610";"18411";"19950";"19641";"20250";"23500";"24600";"26051";"25860";"33331";"35604"
"Campinas do Sul (RS)";"1258";"1560";"1525";"1497";"1267";"1450";"2701";"2650";"2689";"2750";"3053";"3027";"2972";"3032";"3177";"3448";"3513";"3620";"3650";"6231";"6300";"6450";"8069";"8050";"8354";"8149";"7896";"4074";"4468";"4899";"5217";"5439";"5548";"5682";"6294";"6201";"5581";"5602";"9050";"11725";"10125";"10180";"10125";"10000"
"Campo Bom (RS)";"589";"442";"432";"441";"423";"489";"556";"535";"543";"520";"511";"498";"646";"616";"585";"706";"740";"740";"727";"730";"816";"576";"170";"261";"581";"409";"450";"1058";"1134";"1094";"1512";"1231";"1206";"1354";"1102";"350";"415";"383";"404";"390";"411";"308";"308";"216"
"Campo Novo (RS)";"734";"792";"778";"777";"608";"911";"1154";"936";"1154";"1042";"1053";"1043";"1371";"1898";"1957";"1718";"1789";"1927";"2196";"1394";"1462";"1540";"1486";"1535";"1550";"1705";"1590";"1231";"1096";"1394";"1330";"1600";"1800";"2000";"2200";"2300";"2700";"4000";"4750";"5000";"5500";"4500";"5000";"6000"
"Campos Borges (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"700";"720";"754";"1169";"1340";"1884";"2008";"1578";"1590";"1665";"1796";"1852";"2927";"2680";"2156";"1863";"2100";"2150";"2521";"2875";"3410";"3573";"3730";"3769";"4500";"4680";"5280";"5850";"6026"
"Candelária (RS)";"2983";"2682";"2894";"2736";"2830";"3191";"3341";"3441";"3507";"3493";"3771";"3771";"3434";"4201";"5069";"5183";"5255";"5267";"5268";"5355";"5296";"5541";"1360";"137";"136";"137";"137";"4267";"4269";"4038";"3998";"4011";"3895";"3904";"3916";"3922";"3903";"3904";"3952";"3987";"4013";"4039";"4000";"5000"
"Cândido Godói (RS)";"2392";"2654";"2600";"2619";"2003";"1988";"3250";"3263";"3453";"3542";"3569";"3577";"3582";"4392";"5810";"6158";"6381";"6553";"5200";"10320";"9350";"11333";"13040";"14820";"12777";"15460";"17659";"17566";"19038";"19422";"16653";"19625";"19915";"22030";"21561";"22681";"22841";"23351";"25200";"26090";"27783";"29165";"36901";"40140"
"Candiota (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2789";"8238";"8417";"2069";"2188";"2201";"2336";"2394";"2773";"2817";"2875";"2864";"2819";"2868";"2950";"2972";"3002";"3032";"3078";"3047";"3980";"4000";"4440";"5150";"6077"
"Canela (RS)";"1626";"1159";"1163";"1174";"1197";"1260";"2207";"2160";"2344";"2105";"2544";"2565";"1781";"1802";"1785";"1850";"1751";"1750";"1750";"1750";"1925";"1526";"387";"1307";"1338";"1187";"1096";"1081";"985";"1236";"1298";"499";"519";"519";"535";"509";"519";"563";"582";"650";"580";"568";"550";"540"
"Canguçu (RS)";"11099";"9796";"9688";"9692";"13035";"14664";"23052";"23387";"23984";"10824";"11673";"11930";"11492";"10997";"22644";"21181";"20755";"20021";"20280";"17537";"17287";"16713";"20465";"23739";"24314";"24589";"21639";"23433";"23972";"23944";"24161";"24218";"24276";"22188";"21422";"23564";"23363";"22895";"24705";"25803";"25620";"17195";"26000";"25874"
"Canoas (RS)";"5159";"4004";"3901";"3951";"5460";"4600";"4056";"3853";"4184";"4098";"4045";"3821";"4062";"3440";"1740";"1520";"1340";"970";"890";"21";"219";"230";"312";"281";"277";"255";"239";"235";"198";"218";"174";"142";"95";"63";"40";"38";"39";"38";"43";"43";"45";"42";"39";"29"
"Canudos do Vale (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1245";"1222";"1480";"1752";"1410";"1826";"2735";"3269";"2694";"3635";"4609";"5400";"5200";"6000";"6100";"6000";"5400"
"Capão Bonito do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"47";"1485";"1515";"2252";"1616";"1719";"2827";"2160";"2204";"1951";"2150";"2100";"2320";"2434";"4067";"4100";"4100"
"Capão da Canoa (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"506";"507";"503";"611";"610";"623";"637";"631";"630";"611";"306";"300";"298";"60";"59";"59";"58";"58";"56";"57";"56";"53";"53";"53";"53";"53";"53";"49";"100";"90";"86";"77";"66";"60";"59"
"Capão do Cipó (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1450";"1737";"1807";"1968";"2130";"2136";"2240";"2276";"2369";"2465";"2645";"2727";"2999";"2745";"2923";"2440";"2429"
"Capão do Leão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2241";"2581";"2647";"2560";"1406";"1500";"1526";"1779";"1814";"1788";"1775";"1746";"1684";"3222";"2836";"2881";"2635";"4018";"4394";"3866";"3760";"4073";"4268";"4460";"3969";"3833";"3910";"4069";"3437";"5512";"6328";"6391";"9876";"9425";"6779"
"Capivari do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"821";"806";"789";"788";"801";"801";"777";"749";"522";"532";"550";"506";"501";"498";"498";"498";"75";"75";"-";"-";"4"
"Capela de Santana (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5020";"4309";"4732";"4960";"4624";"4265";"4179";"1680";"1665";"1655";"1643";"1638";"1655";"1672";"1682";"1662";"1496";"1489";"1479";"1494";"1523";"1451";"1378";"7823";"8664";"8664";"7002";"6032";"601"
"Capitão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1175";"1158";"1261";"1800";"1460";"1180";"1415";"1585";"1836";"2074";"2080";"2153";"1725";"2054";"2972";"3315";"2116";"3780";"4385";"4800";"5690";"7000";"5300";"5300";"5000"
"Carazinho (RS)";"2220";"2520";"2306";"2281";"3050";"3110";"2515";"2598";"2792";"2781";"3165";"3097";"2914";"2811";"5188";"5245";"4215";"4513";"4870";"2676";"3106";"3231";"6598";"7126";"7275";"7106";"7762";"5369";"5576";"5562";"5147";"7145";"9145";"9334";"9713";"8559";"8543";"8385";"8543";"4374";"5049";"4106";"10700";"4900"
"Caraá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1470";"1470";"1205";"795";"792";"796";"798";"679";"678";"815";"814";"798";"784";"666";"649";"666";"751";"756";"690";"678";"715"
"Carlos Barbosa (RS)";"6045";"7059";"7215";"7219";"6117";"6660";"10812";"10337";"12518";"11270";"8804";"8590";"10980";"9918";"10012";"9012";"11452";"10784";"12687";"12521";"12897";"2540";"14509";"13975";"14137";"14295";"15110";"21406";"21863";"20700";"22010";"19561";"20538";"36744";"38499";"24423";"24800";"24979";"23492";"27000";"27607";"27100";"27608";"28706"
"Carlos Gomes (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1152";"1160";"1209";"1738";"1750";"1634";"1617";"1594";"1579";"1680";"1760";"1776";"1824";"1861";"2909";"3410";"3410";"2430";"2201";"3784";"5438";"5785";"4904";"4504";"4505"
"Casca (RS)";"4368";"4609";"4662";"4669";"4000";"3768";"5040";"5569";"5553";"5624";"5661";"1642";"1311";"1642";"4407";"3316";"3278";"4739";"5090";"6300";"6224";"6335";"9189";"8627";"16181";"17161";"16011";"15114";"18060";"15726";"17451";"19500";"29400";"32266";"44856";"46046";"58563";"51592";"65200";"59400";"55166";"55890";"54785";"50238"
"Caseiros (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"368";"380";"730";"1050";"1080";"4100";"2650";"1303";"1407";"1463";"1441";"1280";"1016";"1525";"1571";"7372";"3907";"3910";"499";"5880";"6139";"7147";"7943";"7943";"7986";"9786";"9800";"10000";"6000"
"Catuípe (RS)";"2125";"2357";"2288";"2244";"1393";"1465";"1673";"1200";"2050";"2054";"1807";"1933";"3300";"3000";"2547";"2607";"2560";"2620";"2800";"2900";"3100";"3155";"10000";"10000";"9500";"10000";"11600";"11600";"10700";"9500";"9600";"11000";"10425";"11500";"14400";"13900";"16000";"18000";"20000";"25000";"21000";"25600";"27000";"26847"
"Caxias do Sul (RS)";"13525";"14711";"14800";"14956";"12404";"13320";"23712";"23712";"24458";"23615";"23957";"22999";"24100";"25038";"25438";"24167";"22691";"16200";"13770";"14177";"14089";"13776";"12275";"11814";"11802";"12391";"12408";"12095";"11750";"11166";"11020";"10469";"11500";"10925";"9833";"8850";"7522";"6920";"6574";"6443";"6765";"6553";"5005";"7532"
"Centenário (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1848";"1700";"1755";"2579";"2580";"2491";"2363";"2188";"2730";"2818";"2888";"2975";"2940";"2999";"4070";"4063";"4075";"2601";"2780";"4570";"8420";"8000";"4000";"3694";"6840"
"Cerrito (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7966";"2872";"2842";"2661";"2930";"3456";"3756";"3549";"3216";"2894";"3715";"3434";"8700";"9101";"9009";"9020";"9084";"8788";"9347";"7609";"7493"
"Cerro Branco (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"152";"159";"159";"160";"165";"166";"187";"565";"412";"414";"415";"417";"423";"424";"426";"430";"433";"430";"432";"435";"435";"443";"444";"451";"469";"700";"684";"720";"715"
"Cerro Grande (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"575";"593";"632";"652";"645";"634";"753";"1032";"1130";"986";"1294";"1112";"1106";"1225";"1164";"1304";"1864";"2012";"2542";"4908";"5227";"5377";"5466";"5604";"7201";"7011";"7018";"5934";"5844"
"Cerro Grande do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1044";"1007";"980";"860";"782";"850";"947";"800";"802";"800";"820";"770";"750";"880";"940";"990";"900";"810";"794";"675";"711";"657";"606";"600";"587";"845";"564";"508";"584"
"Cerro Largo (RS)";"3946";"3877";"3698";"3924";"4364";"4447";"8023";"5970";"7860";"6389";"5780";"6582";"7450";"7253";"10880";"9520";"11080";"11786";"13656";"5600";"7383";"7844";"9291";"9937";"10102";"10753";"12304";"14492";"12151";"12081";"13547";"12368";"13180";"14201";"16300";"16911";"16840";"17530";"17812";"19658";"20731";"19200";"19750";"19467"
"Chapada (RS)";"1468";"2453";"2422";"2452";"1448";"720";"891";"864";"980";"1116";"1140";"1167";"1702";"1779";"3590";"3732";"3910";"4087";"4265";"4928";"4601";"6191";"11780";"10247";"10962";"8820";"9174";"10650";"12262";"13460";"12944";"13307";"16139";"17064";"22124";"24441";"25990";"27165";"29194";"37420";"39244";"37946";"36714";"35272"
"Charqueadas (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"364";"356";"327";"320";"319";"420";"287";"208";"250";"250";"280";"378";"391";"627";"631";"681";"517";"517";"517";"1065";"1096";"1096";"472";"495";"750";"750";"750";"795";"900";"570";"1100";"1160";"1390";"1281";"1796"
"Charrua (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3074";"2889";"2844";"3049";"2850";"2911";"2965";"3677";"4033";"3986";"4052";"4524";"5144";"5481";"6560";"6500";"6668";"7084";"7350";"6615";"11000";"9400";"11118";"11000";"10254"
"Chiapetta (RS)";"560";"573";"522";"480";"450";"279";"719";"815";"789";"785";"1035";"994";"1070";"1000";"1562";"1538";"1613";"1650";"1688";"1350";"1600";"1550";"3000";"3500";"3000";"3000";"3300";"3400";"3100";"3000";"3600";"4000";"3246";"5890";"8000";"8100";"9800";"16800";"15000";"14000";"13000";"14000";"14500";"14603"
"Chuí (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"553";"569";"592";"605";"613";"622";"583";"590";"590";"596";"506";"1095";"1095";"888";"756";"408";"430";"430";"372";"493";"554"
"Chuvisca (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"550";"490";"540";"486";"420";"502";"495";"500";"450";"405";"431";"370";"402";"561";"568";"525";"538";"619";"515";"826";"748"
"Cidreira (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"199";"198";"188";"206";"232";"222";"220";"127";"56";"56";"63";"63";"68";"63";"66";"69";"69";"72";"86";"85";"81";"89";"87";"87";"3";"3";"-";"-";"13"
"Ciríaco (RS)";"1133";"1320";"1324";"1328";"1542";"2450";"3447";"3460";"3528";"3132";"3276";"3309";"2622";"1930";"3288";"10551";"9840";"11367";"9827";"9852";"9849";"10144";"3188";"2878";"4005";"3864";"7663";"8600";"10865";"10075";"5767";"11688";"11702";"9252";"14981";"14687";"16708";"17216";"25347";"23092";"20326";"19087";"19584";"17952"
"Colinas (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1825";"3832";"4066";"4362";"4500";"4700";"5100";"6086";"5720";"5822";"5530";"5670";"5536";"5845";"6147";"7230";"6613";"6530";"6713";"7678";"7720";"8250";"7825";"8500";"7500"
"Colorado (RS)";"712";"875";"861";"811";"619";"600";"763";"792";"798";"791";"791";"775";"867";"2220";"2930";"3168";"3253";"3572";"4349";"4658";"5136";"5502";"7134";"7198";"8842";"9005";"9550";"7135";"6165";"5882";"5575";"6827";"7026";"6500";"6600";"7764";"8123";"8138";"9019";"11286";"11400";"11520";"13860";"16602"
"Condor (RS)";"755";"1340";"1453";"1471";"1026";"1100";"1929";"2374";"2772";"2959";"3039";"3036";"3650";"3945";"3988";"4089";"4176";"5117";"5268";"5268";"5892";"7600";"9326";"12544";"12689";"12905";"13958";"14166";"13838";"13681";"12000";"15000";"13103";"11500";"11650";"13507";"12981";"14119";"14147";"14999";"15322";"15600";"16962";"25661"
"Constantina (RS)";"2704";"3450";"3467";"3467";"3070";"2491";"4050";"3607";"3901";"2617";"2589";"2538";"3380";"3361";"2685";"2290";"2120";"2575";"2746";"1689";"2136";"2391";"8106";"8755";"8733";"8241";"8258";"7243";"7175";"7362";"6793";"7161";"10240";"10785";"11066";"10072";"10308";"11369";"11356";"19971";"19900";"18815";"19500";"23612"
"Coqueiro Baixo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1932";"2047";"2100";"2090";"2088";"2370";"2601";"2629";"3083";"3980";"4400";"6000";"6190";"6940";"6500";"6200";"6100"
"Coqueiros do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1668";"1876";"2261";"3607";"3896";"3845";"4087";"4648";"4535";"4816";"4610";"4144";"4979";"6061";"6204";"6180";"5705";"5543";"5698";"5875";"16200";"17648";"17549";"15978";"17500"
"Coronel Barros (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2093";"2095";"2100";"3600";"3900";"3600";"3700";"3900";"3900";"3600";"3200";"3250";"3400";"4000";"4500";"7500";"8000";"9000";"9500";"10000";"9500";"9000";"8000";"7800";"6500"
"Coronel Bicaco (RS)";"537";"720";"689";"690";"793";"720";"716";"684";"677";"720";"722";"731";"701";"711";"1361";"1362";"1477";"1505";"1577";"2634";"2269";"2638";"3088";"2804";"2697";"2513";"2441";"1176";"1210";"1096";"987";"1050";"1166";"1320";"5586";"5930";"6994";"6927";"8176";"9977";"10021";"9111";"7931";"7012"
"Coronel Pilar (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3975";"3720";"3351";"3450";"3234";"2738";"2268";"2360";"2618";"3200";"3015";"3148";"2190";"1560";"1365";"1211";"1277"
"Cotiporã (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1283";"1277";"1267";"1568";"1589";"1579";"1484";"1629";"1746";"1959";"1959";"2237";"2214";"3313";"2460";"2790";"2977";"3848";"3315";"3252";"6462";"6979";"7925";"8560";"7360";"8141";"7815";"7698";"8083";"7692";"6280";"7000";"7562";"7024";"7157"
"Coxilha (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1800";"1770";"1860";"2465";"2784";"2961";"2932";"5011";"5722";"6828";"6785";"5273";"7341";"9169";"9950";"11605";"11554";"14743";"13872";"15514";"16286";"17508";"15952";"19928";"19125"
"Crissiumal (RS)";"4683";"5107";"5124";"4631";"6428";"6839";"11673";"5738";"11691";"6883";"6975";"6690";"8120";"8392";"8461";"9550";"9686";"10731";"12470";"12686";"12812";"13167";"16674";"16888";"17250";"18975";"21850";"35991";"31248";"29258";"28600";"30000";"33000";"26450";"29500";"32000";"32500";"32500";"36000";"40000";"37000";"30000";"35000";"41070"
"Cristal (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"220";"510";"600";"700";"820";"700";"830";"1200";"1180";"1080";"1050";"985";"900";"1000";"900";"890";"1050";"945";"934";"1100";"1210";"1025";"1021";"1100";"1113";"2697";"2926";"3443";"2817"
"Cristal do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1068";"1093";"1139";"1164";"1170";"1170";"1187";"1209";"1245";"1248";"2400";"2424";"2426";"2430";"2437";"2510";"3260";"3288";"3180";"2480";"3080"
"Cruz Alta (RS)";"2112";"1739";"1616";"1639";"8740";"9010";"10234";"10500";"10620";"7800";"7761";"7625";"7958";"7882";"7806";"7565";"8302";"8691";"8850";"8978";"8999";"12500";"15895";"15935";"16877";"16870";"15500";"7200";"7130";"6716";"5990";"6830";"6850";"6500";"6693";"6785";"6950";"6800";"6826";"8400";"8850";"9060";"10190";"10368"
"Cruzaltense (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1885";"1958";"2016";"2030";"2001";"2041";"4485";"4665";"4670";"3701";"3720";"4100";"10340";"8640";"10340";"10115";"10120"
"Cruzeiro do Sul (RS)";"2791";"2747";"2736";"2728";"3600";"3951";"10727";"11278";"11218";"5291";"5843";"5756";"6344";"5756";"6994";"6882";"6741";"7011";"7347";"7505";"6714";"7039";"8500";"8300";"6800";"6880";"7390";"6150";"6863";"6784";"7638";"7823";"8473";"10454";"10355";"11056";"12000";"12600";"14600";"14640";"13700";"12233";"11900";"11800"
"David Canabarro (RS)";"1060";"998";"984";"992";"855";"964";"1671";"1480";"2321";"2397";"2457";"2494";"2313";"2380";"3800";"2575";"2550";"3756";"3424";"3073";"2186";"2191";"3600";"3267";"3920";"3267";"7957";"8352";"9099";"9048";"8742";"10738";"12932";"13820";"21488";"21542";"22082";"23496";"27062";"26291";"25952";"25241";"25465";"25041"
"Derrubadas (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3443";"3611";"3773";"4236";"4250";"4280";"4708";"11680";"10016";"9902";"9491";"9141";"9000";"9000";"7300";"9000";"9500";"9500";"12000";"13000";"14000";"14000";"11000";"12500";"15000"
"Dezesseis de Novembro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2290";"2310";"2320";"2320";"2390";"3210";"3340";"1800";"1500";"1500";"1480";"1490";"1500";"1666";"1680";"1854";"1700";"2200";"1700";"1920";"2302";"2299";"2300";"2395";"2700";"1700";"1200";"1000";"1300"
"Dilermando de Aguiar (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2513";"2445";"2423";"2116";"1738";"1736";"1780";"1625";"1413";"1439";"1396";"1383";"1415";"1388";"1432";"1412";"1352";"1800";"1800";"2817";"2915"
"Dois Irmãos (RS)";"2784";"3852";"3835";"3839";"2704";"2900";"2960";"4441";"2928";"4772";"4891";"4964";"5359";"3096";"3419";"2343";"2128";"1986";"1992";"943";"886";"901";"945";"1067";"1067";"1048";"1019";"2120";"1565";"1555";"1716";"1166";"1238";"1158";"1094";"778";"933";"1053";"953";"948";"930";"907";"623";"529"
"Dois Irmãos das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2730";"1589";"1746";"1053";"930";"831";"846";"830";"653";"586";"674";"727";"1830";"1998";"2366";"7423";"8030";"9026";"9170";"10520";"13264";"14267";"13836";"11967";"10862"
"Dois Lajeados (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3316";"3326";"3426";"3611";"2275";"2507";"2528";"2504";"2585";"2646";"2699";"2847";"2959";"3125";"3125";"3125";"3100";"3162";"6500";"6650";"6681";"7987";"8053";"8181";"9188";"9221";"9159";"9070";"9285"
"Dom Feliciano (RS)";"1179";"1338";"1341";"1361";"899";"1265";"482";"513";"1813";"1859";"1973";"2010";"2057";"2100";"2174";"3000";"2980";"2800";"2600";"2150";"2500";"2600";"1200";"1250";"1400";"1415";"1370";"1300";"1450";"1400";"1550";"1300";"1170";"1200";"1100";"1161";"1338";"1265";"1400";"1464";"1670";"1006";"1134";"1143"
"Dom Pedro de Alcântara (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"78";"520";"470";"466";"463";"464";"465";"442";"402";"362";"361";"311";"315";"274";"285";"241";"214";"185";"180";"166";"175"
"Dom Pedrito (RS)";"4510";"3815";"3828";"3844";"3540";"3536";"4023";"4047";"3975";"3980";"3988";"3802";"3586";"3849";"6070";"6210";"5928";"6444";"5760";"4725";"5243";"5037";"4800";"4266";"4519";"5248";"5563";"6039";"6106";"5576";"5141";"4924";"5205";"5206";"9277";"9080";"10937";"12248";"15365";"14519";"14955";"14000";"14000";"14000"
"Dona Francisca (RS)";"439";"422";"418";"426";"187";"189";"211";"226";"222";"198";"214";"216";"223";"225";"642";"657";"645";"662";"706";"834";"843";"854";"387";"1023";"1051";"1083";"1027";"917";"921";"934";"916";"719";"725";"743";"739";"744";"722";"719";"727";"971";"970";"970";"970";"1000"
"Doutor Maurício Cardoso (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3084";"3093";"3100";"3114";"3141";"4229";"5698";"7262";"7558";"7263";"7192";"8187";"8183";"6931";"5964";"6203";"6180";"6737";"7694";"8617";"9306";"10950";"12700";"13208";"13538";"14147";"14176";"14034";"13323"
"Doutor Ricardo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1000";"1800";"1450";"1735";"1970";"1900";"2113";"2700";"2180";"1846";"3659";"3400";"3380";"3470";"3255";"3308";"3490";"3600";"3286";"3140";"3305"
"Eldorado do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4250";"383";"396";"420";"600";"527";"500";"1360";"1452";"1452";"1564";"4272";"4158";"4112";"1508";"1583";"828";"1945";"1581";"1421";"7008";"7820";"13172";"14463";"21430";"20265";"15950";"19631";"18549"
"Encantado (RS)";"2893";"4196";"4185";"4244";"2500";"2700";"8574";"8530";"8868";"6544";"6241";"6272";"6867";"6938";"5676";"3420";"3467";"3252";"3200";"3053";"2950";"3175";"3650";"2500";"2200";"2284";"2100";"1926";"1910";"2100";"2300";"3352";"2686";"2907";"3260";"3040";"3500";"4100";"4557";"4980";"5440";"5400";"5200";"5000"
