"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"André da Rocha (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1714";"1977";"2135";"2465";"2802";"2807";"2817";"2912";"3495";"3841";"3942";"4776";"3392";"1300";"1508";"1945";"1595";"1771";"2160";"2451";"2377";"2311";"2413";"2314";"4160";"4368";"4987";"5205";"1572"
"Anta Gorda (RS)";"1987";"2504";"2538";"2554";"2145";"2160";"2495";"2384";"2437";"2366";"2609";"2610";"2888";"2804";"2570";"2800";"2806";"2879";"2937";"3010";"3021";"3118";"3977";"3229";"3265";"3272";"3520";"8196";"8424";"8430";"8447";"8870";"9048";"18660";"19927";"13942";"19845";"19960";"20200";"20400";"20230";"19557";"19735";"20580"
"Antônio Prado (RS)";"4341";"4847";"5155";"5163";"5762";"5877";"10176";"10176";"10668";"7980";"7628";"7476";"7565";"8258";"8354";"5756";"5623";"5271";"4305";"4369";"4391";"4207";"6792";"6708";"6751";"6730";"6394";"6930";"6666";"6724";"6683";"6014";"6023";"6324";"6451";"6483";"6500";"6490";"5850";"6843";"6638";"10030";"10291";"8081"
"Arambaré (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"500";"520";"600";"190";"220";"219";"230";"220";"200";"215";"220";"250";"210";"189";"168";"136";"148";"123";"124";"136";"146";"147";"235";"212";"211"
"Araricá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"143";"155";"182";"169";"172";"599";"623";"533";"19";"21";"23";"24";"23";"19";"19";"37";"97";"109";"90";"95";"113"
"Aratiba (RS)";"4263";"4443";"4602";"4627";"3109";"3000";"4112";"4200";"4141";"4400";"4629";"4595";"5376";"5457";"9765";"10253";"10186";"10393";"10497";"7249";"7406";"7560";"7041";"7050";"6723";"6328";"6277";"7134";"8205";"8352";"7935";"7940";"8095";"20035";"21055";"23184";"24128";"24300";"14707";"18358";"18951";"17249";"22600";"22605"
"Arroio do Meio (RS)";"6316";"7738";"7865";"7874";"8928";"21810";"29704";"27796";"30856";"15980";"16579";"16119";"16685";"16704";"16116";"14805";"14833";"15470";"15594";"13728";"13805";"14985";"14669";"14400";"13500";"16050";"17750";"15550";"15230";"14530";"17193";"17853";"19584";"23102";"24313";"22970";"22250";"23360";"25500";"26300";"26300";"26000";"26000";"22500"
"Arroio do Sal (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"238";"210";"208";"202";"190";"180";"175";"270";"280";"230";"240";"241";"241";"242";"242";"230";"210";"212";"212";"191";"196";"169";"154";"150";"141";"140";"137";"134";"133"
"Arroio do Padre (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1591";"1543";"1467";"1486";"1342";"1211";"1468";"1541";"1705";"1801";"1836";"3029";"3840";"3662";"3694";"3278";"3105"
"Arroio dos Ratos (RS)";"252";"244";"251";"253";"303";"320";"433";"430";"452";"833";"872";"842";"787";"780";"700";"778";"670";"645";"662";"667";"671";"602";"1195";"1089";"1089";"540";"540";"540";"913";"540";"720";"-";"720";"720";"521";"521";"525";"543";"495";"950";"975";"635";"635";"395"
